"x"	"y"	"z"	"alpha"	"spin"	"theta"	"v_incoming"	"w_ball"	"w_racket"	"x_ground"	"y_ground"
"17"	2	-4.12	1.25	21.9127122669477	-1	1	11.3793103448276	217.555947229266	53.448275862069	-10.7133812095622	1.00215326210251
"18"	2	-4.12	1.375	21.9127122669477	-1	-1	11.3793103448276	184.673303924501	53.448275862069	-9.54810271786264	0.533322996122509
"19"	2	-4.12	1.5	21.9127122669477	-1	1	11.3793103448276	371.042447816581	53.448275862069	-10.7402464099586	1.011697264667
"20"	2	-4.12	0.75	17.5301698135581	-1	9	29.3103448275862	405.543978605419	16.2068965517241	-11.3121037368565	0.0823746833872402
"21"	2	-4.12	0.875	17.5301698135581	-1	7	26.551724137931	407.342017814517	31.7241379310345	-11.8291704380281	0.246985876788871
"22"	2	-4.12	1	17.5301698135581	-1	1	11.3793103448276	160.926352348179	53.448275862069	-10.4150229804544	-0.194726618839483
"23"	2	-4.12	1.125	17.5301698135581	-1	-1	11.3793103448276	133.806302398443	53.448275862069	-9.10433612771249	-0.616213663521413
"24"	2	-4.12	1.25	17.5301698135581	-1	-1	11.3793103448276	143.59845565632	53.448275862069	-9.63097911152362	-0.439940104931076
"25"	2	-4.12	1.375	17.5301698135581	-1	1	11.3793103448276	449.572898261249	53.448275862069	-10.3086818865946	-0.236732974546294
"26"	2	-4.12	1.5	17.5301698135581	-1	0	11.3793103448276	182.096970174462	53.448275862069	-11.3955521476554	0.10785920346848
"27"	2	-4.12	0.875	13.1476273601686	-1	4	16.8965517241379	383.769352640957	50.3448275862069	-11.5246539952277	-0.961376869435817
"28"	2	-4.12	1	13.1476273601686	-1	2	11.3793103448276	430.254328716546	53.448275862069	-10.0135176841393	-1.31408191952432
"29"	2	-4.12	1.125	13.1476273601686	-1	1	11.3793103448276	412.025747448206	53.448275862069	-9.69032706144354	-1.39346384586248
"30"	2	-4.12	1.25	13.1476273601686	-1	-2	11.3793103448276	214.417605474591	53.448275862069	-8.43925660933003	-1.67798464960561
"31"	2	-4.12	1.375	13.1476273601686	-1	-3	11.3793103448276	112.242747657001	53.448275862069	-8.77214441216586	-1.60851075506521
"32"	2	-4.12	1.5	13.1476273601686	-1	-1	11.3793103448276	351.79146444425	53.448275862069	-9.71827869317395	-1.38684412281225
"33"	2	-4.12	0.875	8.76508490677907	-1	7	29.3103448275862	306.759404670447	16.2068965517241	-11.1407033799804	-2.09424814375587
"34"	2	-4.12	1	8.76508490677907	-1	2	11.3793103448276	299.833633657545	53.448275862069	-10.8620948219101	-2.139324021472
